,user_id,gender,state,age,date_joined,no_of_dependents,marital_status,income,product_id,product_name,aisle_id,department_id,prices,order_id,order_number,orders_day_of_week,order_hour_of_day,days_since_prior_order,add_to_cart_order,reordered,_merge,price_range_loc,busiest_day,busiest_days,busiest_periods,max_order,loyalty_flag,mean_price,spending_flag,median_prior_days,order_frequency,total_orders,activity_flag
237801,93363,Male,Maryland,45,1/9/2017,1,married,31936,42450,Macaroni & Cheese,38,1,10.6,551815,2,6,10,13.0,1,0,both,Mid-range product,Regularly busy,Regularly busy,Most orders,3,New customer,6.733333333333334,Low Spender,16.5,Regular customer,3,Low Activity
238026,37062,Male,Minnesota,38,1/10/2017,2,married,95170,196,Soda,77,7,9.0,980889,1,6,10,,1,0,both,Mid-range product,Regularly busy,Regularly busy,Most orders,3,New customer,9.0,Low Spender,30.0,Non-frequent customer,3,Low Activity
238027,37062,Male,Minnesota,38,1/10/2017,2,married,95170,196,Soda,77,7,9.0,1252643,2,5,14,30.0,1,1,both,Mid-range product,Regularly busy,Regularly busy,Most orders,3,New customer,9.0,Low Spender,30.0,Non-frequent customer,3,Low Activity
238028,37062,Male,Minnesota,38,1/10/2017,2,married,95170,196,Soda,77,7,9.0,2669190,3,0,11,30.0,1,1,both,Mid-range product,Busiest day,Busiest days,Most orders,3,New customer,9.0,Low Spender,30.0,Non-frequent customer,3,Low Activity
238219,123997,Female,Iowa,18,1/10/2017,3,living with parents and siblings,73967,196,Soda,77,7,9.0,1334527,1,0,9,,1,0,both,Mid-range product,Busiest day,Busiest days,Most orders,4,New customer,9.0,Low Spender,30.0,Non-frequent customer,4,Low Activity
238220,123997,Female,Iowa,18,1/10/2017,3,living with parents and siblings,73967,196,Soda,77,7,9.0,1107082,2,1,10,29.0,1,1,both,Mid-range product,Regularly busy,Busiest days,Most orders,4,New customer,9.0,Low Spender,30.0,Non-frequent customer,4,Low Activity
238221,123997,Female,Iowa,18,1/10/2017,3,living with parents and siblings,73967,196,Soda,77,7,9.0,1805406,3,6,15,30.0,1,1,both,Mid-range product,Regularly busy,Regularly busy,Most orders,4,New customer,9.0,Low Spender,30.0,Non-frequent customer,4,Low Activity
238222,123997,Female,Iowa,18,1/10/2017,3,living with parents and siblings,73967,196,Soda,77,7,9.0,2995675,4,0,13,30.0,1,1,both,Mid-range product,Busiest day,Busiest days,Most orders,4,New customer,9.0,Low Spender,30.0,Non-frequent customer,4,Low Activity
265120,62036,Female,Maine,50,1/10/2017,1,married,59707,16797,Strawberries,24,4,1.3,2285508,1,1,20,,1,0,both,Low-range product,Regularly busy,Busiest days,Average orders,3,New customer,2.2,Low Spender,30.0,Non-frequent customer,4,Low Activity
265121,62036,Female,Maine,50,1/10/2017,1,married,59707,22802,Mineral Water,115,7,2.5,2285508,1,1,20,,2,0,both,Low-range product,Regularly busy,Busiest days,Average orders,3,New customer,2.2,Low Spender,30.0,Non-frequent customer,4,Low Activity
265122,62036,Female,Maine,50,1/10/2017,1,married,59707,22802,Mineral Water,115,7,2.5,2096343,2,4,1,30.0,1,1,both,Low-range product,Least busy,Least busy days,Fewest orders,3,New customer,2.2,Low Spender,30.0,Non-frequent customer,4,Low Activity
265123,62036,Female,Maine,50,1/10/2017,1,married,59707,22802,Mineral Water,115,7,2.5,2759563,3,3,0,30.0,1,1,both,Low-range product,Regularly busy,Least busy days,Fewest orders,3,New customer,2.2,Low Spender,30.0,Non-frequent customer,4,Low Activity
299333,44524,Female,Alabama,56,1/11/2017,1,married,35131,3198,Pumpkin Spice Latte Iced Coffee Pure Cold Brew Coffee With Almondmilk,26,7,4.7,1113368,1,6,13,,1,0,both,Low-range product,Regularly busy,Regularly busy,Most orders,3,New customer,5.725,Low Spender,14.0,Regular customer,4,Low Activity
299334,44524,Female,Alabama,56,1/11/2017,1,married,35131,4332,Kettle Cooked Jalapeno Potato Chips,107,19,6.5,1974672,3,0,9,14.0,2,0,both,Mid-range product,Busiest day,Busiest days,Most orders,3,New customer,5.725,Low Spender,14.0,Regular customer,4,Low Activity
299335,44524,Female,Alabama,56,1/11/2017,1,married,35131,14626,Organic Cherry/Watermelon Fruity Hearts Treat Packs,6,2,8.8,1974672,3,0,9,14.0,1,0,both,Mid-range product,Busiest day,Busiest days,Most orders,3,New customer,5.725,Low Spender,14.0,Regular customer,4,Low Activity
299336,44524,Female,Alabama,56,1/11/2017,1,married,35131,35065,Orange Strawberry Banana Juice,31,7,2.9,410243,2,0,11,8.0,1,0,both,Low-range product,Busiest day,Busiest days,Most orders,3,New customer,5.725,Low Spender,14.0,Regular customer,4,Low Activity
326712,54453,Female,Minnesota,80,1/12/2017,1,married,128842,12813,Calorie Free Sweetener,17,13,3.5,260230,2,6,18,13.0,1,0,both,Low-range product,Regularly busy,Regularly busy,Average orders,3,New customer,9.4,Low Spender,12.5,Regular customer,3,Low Activity
326713,54453,Female,Minnesota,80,1/12/2017,1,married,128842,23236,Chopped Spinach,116,1,14.1,1029993,1,0,11,,1,0,both,Mid-range product,Busiest day,Busiest days,Most orders,3,New customer,9.4,Low Spender,12.5,Regular customer,3,Low Activity
326714,54453,Female,Minnesota,80,1/12/2017,1,married,128842,40002,Strawberry Ice Cream,37,1,10.6,2819155,3,4,20,12.0,1,0,both,Mid-range product,Least busy,Least busy days,Average orders,3,New customer,9.4,Low Spender,12.5,Regular customer,3,Low Activity
326767,20956,Male,Vermont,38,1/12/2017,2,married,55362,12392,Organic Love Crunch Granola Dark Chocolate & Red Berries,57,14,8.7,86466,1,2,18,,1,0,both,Mid-range product,Regularly busy,Regularly busy,Average orders,4,New customer,8.7,Low Spender,16.0,Regular customer,4,Low Activity
326768,20956,Male,Vermont,38,1/12/2017,2,married,55362,12392,Organic Love Crunch Granola Dark Chocolate & Red Berries,57,14,8.7,1272049,2,1,16,20.0,1,1,both,Mid-range product,Regularly busy,Busiest days,Most orders,4,New customer,8.7,Low Spender,16.0,Regular customer,4,Low Activity
326769,20956,Male,Vermont,38,1/12/2017,2,married,55362,12392,Organic Love Crunch Granola Dark Chocolate & Red Berries,57,14,8.7,2887970,3,3,16,16.0,1,1,both,Mid-range product,Regularly busy,Least busy days,Most orders,4,New customer,8.7,Low Spender,16.0,Regular customer,4,Low Activity
326770,20956,Male,Vermont,38,1/12/2017,2,married,55362,12392,Organic Love Crunch Granola Dark Chocolate & Red Berries,57,14,8.7,1016269,4,4,9,1.0,1,1,both,Mid-range product,Least busy,Least busy days,Most orders,4,New customer,8.7,Low Spender,16.0,Regular customer,4,Low Activity
326771,179906,Female,North Dakota,52,1/12/2017,3,married,46992,40939,Drinking Water,115,7,1.6,1400052,1,2,12,,1,0,both,Low-range product,Regularly busy,Regularly busy,Most orders,3,New customer,1.6000000000000003,Low Spender,30.0,Non-frequent customer,3,Low Activity
326772,179906,Female,North Dakota,52,1/12/2017,3,married,46992,40939,Drinking Water,115,7,1.6,778396,2,1,10,30.0,1,1,both,Low-range product,Regularly busy,Busiest days,Most orders,3,New customer,1.6000000000000003,Low Spender,30.0,Non-frequent customer,3,Low Activity
326773,179906,Female,North Dakota,52,1/12/2017,3,married,46992,40939,Drinking Water,115,7,1.6,289960,3,3,16,30.0,1,1,both,Low-range product,Regularly busy,Least busy days,Most orders,3,New customer,1.6000000000000003,Low Spender,30.0,Non-frequent customer,3,Low Activity
350146,204083,Male,Oregon,41,1/14/2017,3,married,108034,196,Soda,77,7,9.0,331606,1,3,12,,1,0,both,Mid-range product,Regularly busy,Least busy days,Most orders,4,New customer,9.0,Low Spender,28.0,Non-frequent customer,4,Low Activity
350147,204083,Male,Oregon,41,1/14/2017,3,married,108034,196,Soda,77,7,9.0,2978713,2,4,15,29.0,1,1,both,Mid-range product,Least busy,Least busy days,Most orders,4,New customer,9.0,Low Spender,28.0,Non-frequent customer,4,Low Activity
350148,204083,Male,Oregon,41,1/14/2017,3,married,108034,196,Soda,77,7,9.0,484401,3,4,13,28.0,1,1,both,Mid-range product,Least busy,Least busy days,Most orders,4,New customer,9.0,Low Spender,28.0,Non-frequent customer,4,Low Activity
350149,204083,Male,Oregon,41,1/14/2017,3,married,108034,196,Soda,77,7,9.0,2186700,4,2,13,26.0,1,1,both,Mid-range product,Regularly busy,Regularly busy,Most orders,4,New customer,9.0,Low Spender,28.0,Non-frequent customer,4,Low Activity
369622,19299,Female,Montana,24,1/14/2017,3,married,89209,5373,Organic No Salt Added Diced Tomatoes,81,15,6.9,3232772,3,0,14,24.0,1,0,both,Mid-range product,Busiest day,Busiest days,Most orders,3,New customer,9.95,Low Spender,12.5,Regular customer,4,Low Activity
369623,19299,Female,Montana,24,1/14/2017,3,married,89209,22475,Jicama,83,4,12.5,518213,1,3,10,,2,0,both,Mid-range product,Regularly busy,Least busy days,Most orders,3,New customer,9.95,Low Spender,12.5,Regular customer,4,Low Activity
369624,19299,Female,Montana,24,1/14/2017,3,married,89209,28985,Michigan Organic Kale,83,4,13.4,518213,1,3,10,,1,0,both,Mid-range product,Regularly busy,Least busy days,Most orders,3,New customer,9.95,Low Spender,12.5,Regular customer,4,Low Activity
369625,19299,Female,Montana,24,1/14/2017,3,married,89209,44142,Red Onion,83,4,7.0,1877233,2,4,7,1.0,1,0,both,Mid-range product,Least busy,Least busy days,Average orders,3,New customer,9.95,Low Spender,12.5,Regular customer,4,Low Activity
425086,79065,Male,Indiana,78,1/16/2017,2,married,169328,17794,Carrots,83,4,10.7,910451,2,6,14,25.0,2,0,both,Mid-range product,Regularly busy,Regularly busy,Most orders,3,New customer,8.625,Low Spender,25.0,Non-frequent customer,4,Low Activity
425087,79065,Male,Indiana,78,1/16/2017,2,married,169328,21616,Organic Baby Arugula,123,4,4.9,1539786,1,2,16,,1,0,both,Low-range product,Regularly busy,Regularly busy,Most orders,3,New customer,8.625,Low Spender,25.0,Non-frequent customer,4,Low Activity
425088,79065,Male,Indiana,78,1/16/2017,2,married,169328,21616,Organic Baby Arugula,123,4,4.9,910451,2,6,14,25.0,1,1,both,Low-range product,Regularly busy,Regularly busy,Most orders,3,New customer,8.625,Low Spender,25.0,Non-frequent customer,4,Low Activity
425089,79065,Male,Indiana,78,1/16/2017,2,married,169328,47626,Large Lemon,24,4,14.0,1379387,3,0,16,30.0,1,0,both,Mid-range product,Busiest day,Busiest days,Most orders,3,New customer,8.625,Low Spender,25.0,Non-frequent customer,4,Low Activity
453024,49581,Female,District of Columbia,74,1/17/2017,2,married,85891,33572,Lactose Free 2% Reduced Fat Milk,91,16,10.5,3331287,1,1,12,,1,0,both,Mid-range product,Regularly busy,Busiest days,Most orders,3,New customer,10.5,High Spender,3.0,Frequent customer,3,Low Activity
453025,49581,Female,District of Columbia,74,1/17/2017,2,married,85891,33572,Lactose Free 2% Reduced Fat Milk,91,16,10.5,1378423,2,3,17,2.0,1,1,both,Mid-range product,Regularly busy,Least busy days,Average orders,3,New customer,10.5,High Spender,3.0,Frequent customer,3,Low Activity
453026,49581,Female,District of Columbia,74,1/17/2017,2,married,85891,33572,Lactose Free 2% Reduced Fat Milk,91,16,10.5,2653399,3,0,21,4.0,1,1,both,Mid-range product,Busiest day,Busiest days,Average orders,3,New customer,10.5,High Spender,3.0,Frequent customer,3,Low Activity
471551,101849,Female,Alaska,41,1/18/2017,0,single,141623,27845,Organic Whole Milk,84,16,12.8,1598472,1,4,16,,1,0,both,Mid-range product,Least busy,Least busy days,Most orders,3,New customer,10.200000000000001,High Spender,30.0,Non-frequent customer,4,Low Activity
471552,101849,Female,Alaska,41,1/18/2017,0,single,141623,27845,Organic Whole Milk,84,16,12.8,3171485,2,0,20,24.0,1,1,both,Mid-range product,Busiest day,Busiest days,Average orders,3,New customer,10.200000000000001,High Spender,30.0,Non-frequent customer,4,Low Activity
471553,101849,Female,Alaska,41,1/18/2017,0,single,141623,32478,Reduced Fat 2% Milk,84,16,13.9,1889283,3,1,11,30.0,1,0,both,Mid-range product,Regularly busy,Busiest days,Most orders,3,New customer,10.200000000000001,High Spender,30.0,Non-frequent customer,4,Low Activity
471554,101849,Female,Alaska,41,1/18/2017,0,single,141623,35951,Organic Unsweetened Almond Milk,91,16,1.3,1889283,3,1,11,30.0,2,0,both,Low-range product,Regularly busy,Busiest days,Most orders,3,New customer,10.200000000000001,High Spender,30.0,Non-frequent customer,4,Low Activity
481430,153771,Male,Colorado,80,1/18/2017,1,married,137918,15541,Original Almondmilk,91,16,12.0,1676525,1,6,21,,1,0,both,Mid-range product,Regularly busy,Regularly busy,Average orders,3,New customer,8.55,Low Spender,18.5,Regular customer,4,Low Activity
481431,153771,Male,Colorado,80,1/18/2017,1,married,137918,15541,Original Almondmilk,91,16,12.0,1272376,3,6,14,30.0,1,1,both,Mid-range product,Regularly busy,Regularly busy,Most orders,3,New customer,8.55,Low Spender,18.5,Regular customer,4,Low Activity
481432,153771,Male,Colorado,80,1/18/2017,1,married,137918,26754,Single Malt Scotch Whiskey,27,5,5.1,1676525,1,6,21,,2,0,both,Mid-range product,Regularly busy,Regularly busy,Average orders,3,New customer,8.55,Low Spender,18.5,Regular customer,4,Low Activity
481433,153771,Male,Colorado,80,1/18/2017,1,married,137918,26754,Single Malt Scotch Whiskey,27,5,5.1,793118,2,6,0,7.0,1,1,both,Mid-range product,Regularly busy,Regularly busy,Fewest orders,3,New customer,8.55,Low Spender,18.5,Regular customer,4,Low Activity
513362,51222,Female,Kentucky,21,1/19/2017,3,living with parents and siblings,46023,6324,Whole Tellicherry Peppercorns,104,13,5.9,2117702,2,2,9,30.0,1,0,both,Mid-range product,Regularly busy,Regularly busy,Most orders,3,New customer,6.733333333333333,Low Spender,25.0,Non-frequent customer,3,Low Activity
513363,51222,Female,Kentucky,21,1/19/2017,3,living with parents and siblings,46023,23719,Chicken Tortilla Soup,1,20,8.1,3048316,1,1,11,,1,0,both,Mid-range product,Regularly busy,Busiest days,Most orders,3,New customer,6.733333333333333,Low Spender,25.0,Non-frequent customer,3,Low Activity
513364,51222,Female,Kentucky,21,1/19/2017,3,living with parents and siblings,46023,43154,Sparkling Mineral Water,115,7,6.2,1210937,3,1,16,20.0,1,0,both,Mid-range product,Regularly busy,Busiest days,Most orders,3,New customer,6.733333333333333,Low Spender,25.0,Non-frequent customer,3,Low Activity
746043,42674,Male,Missouri,38,1/27/2017,1,married,40771,280,Makeup Remover Cleansing Towelettes,73,11,8.5,377754,3,2,7,30.0,1,0,both,Mid-range product,Regularly busy,Regularly busy,Average orders,3,New customer,4.5,Low Spender,30.0,Non-frequent customer,3,Low Activity
746044,42674,Male,Missouri,38,1/27/2017,1,married,40771,36472,Nutri Grain Bars Multi Pack,48,14,3.4,2999182,2,5,20,30.0,1,0,both,Low-range product,Regularly busy,Regularly busy,Average orders,3,New customer,4.5,Low Spender,30.0,Non-frequent customer,3,Low Activity
746045,42674,Male,Missouri,38,1/27/2017,1,married,40771,40939,Drinking Water,115,7,1.6,580175,1,5,21,,1,0,both,Low-range product,Regularly busy,Regularly busy,Average orders,3,New customer,4.5,Low Spender,30.0,Non-frequent customer,3,Low Activity
969836,151948,Female,Louisiana,38,2/4/2017,2,married,45236,1158,Mango Chunks,116,1,1.6,2483513,3,4,11,2.0,1,0,both,Low-range product,Least busy,Least busy days,Most orders,3,New customer,3.1999999999999997,Low Spender,11.5,Regular customer,3,Low Activity
969837,151948,Female,Louisiana,38,2/4/2017,2,married,45236,47209,Organic Hass Avocado,24,4,4.0,2289414,1,2,9,,1,0,both,Low-range product,Regularly busy,Regularly busy,Most orders,3,New customer,3.1999999999999997,Low Spender,11.5,Regular customer,3,Low Activity
969838,151948,Female,Louisiana,38,2/4/2017,2,married,45236,47209,Organic Hass Avocado,24,4,4.0,1898223,2,2,16,21.0,1,1,both,Low-range product,Regularly busy,Regularly busy,Most orders,3,New customer,3.1999999999999997,Low Spender,11.5,Regular customer,3,Low Activity
988788,133963,Male,Mississippi,50,2/5/2017,3,married,136563,16797,Strawberries,24,4,1.3,1658492,1,6,10,,2,0,both,Low-range product,Regularly busy,Regularly busy,Most orders,3,New customer,7.35,Low Spender,29.0,Non-frequent customer,4,Low Activity
988789,133963,Male,Mississippi,50,2/5/2017,3,married,136563,16797,Strawberries,24,4,1.3,3303998,2,6,9,28.0,1,1,both,Low-range product,Regularly busy,Regularly busy,Most orders,3,New customer,7.35,Low Spender,29.0,Non-frequent customer,4,Low Activity
988790,133963,Male,Mississippi,50,2/5/2017,3,married,136563,46149,Zero Calorie Cola,77,7,13.4,1658492,1,6,10,,1,0,both,Mid-range product,Regularly busy,Regularly busy,Most orders,3,New customer,7.35,Low Spender,29.0,Non-frequent customer,4,Low Activity
988791,133963,Male,Mississippi,50,2/5/2017,3,married,136563,46149,Zero Calorie Cola,77,7,13.4,1699879,3,1,18,30.0,1,1,both,Mid-range product,Regularly busy,Busiest days,Average orders,3,New customer,7.35,Low Spender,29.0,Non-frequent customer,4,Low Activity
1024122,42490,Female,Connecticut,58,2/6/2017,1,married,140834,5025,Green Onions,83,4,12.6,1679290,3,5,15,30.0,1,0,both,Mid-range product,Regularly busy,Regularly busy,Most orders,3,New customer,10.6,High Spender,25.0,Non-frequent customer,4,Low Activity
1024123,42490,Female,Connecticut,58,2/6/2017,1,married,140834,34358,Garlic,83,4,3.4,235126,1,5,18,,1,0,both,Low-range product,Regularly busy,Regularly busy,Average orders,3,New customer,10.6,High Spender,25.0,Non-frequent customer,4,Low Activity
1024124,42490,Female,Connecticut,58,2/6/2017,1,married,140834,41950,Organic Tomato Cluster,83,4,13.2,235126,1,5,18,,2,0,both,Mid-range product,Regularly busy,Regularly busy,Average orders,3,New customer,10.6,High Spender,25.0,Non-frequent customer,4,Low Activity
1024125,42490,Female,Connecticut,58,2/6/2017,1,married,140834,41950,Organic Tomato Cluster,83,4,13.2,2786350,2,4,18,20.0,1,1,both,Mid-range product,Least busy,Least busy days,Average orders,3,New customer,10.6,High Spender,25.0,Non-frequent customer,4,Low Activity
1031446,19748,Female,Georgia,45,2/7/2017,1,married,101083,13176,Bag of Organic Bananas,24,4,10.3,1716913,1,1,8,,1,0,both,Mid-range product,Regularly busy,Busiest days,Average orders,4,New customer,10.3,High Spender,8.0,Frequent customer,4,Low Activity
1031447,19748,Female,Georgia,45,2/7/2017,1,married,101083,13176,Bag of Organic Bananas,24,4,10.3,2048843,2,1,9,7.0,1,1,both,Mid-range product,Regularly busy,Busiest days,Most orders,4,New customer,10.3,High Spender,8.0,Frequent customer,4,Low Activity
1031448,19748,Female,Georgia,45,2/7/2017,1,married,101083,13176,Bag of Organic Bananas,24,4,10.3,1763741,3,2,8,8.0,1,1,both,Mid-range product,Regularly busy,Regularly busy,Average orders,4,New customer,10.3,High Spender,8.0,Frequent customer,4,Low Activity
1031449,19748,Female,Georgia,45,2/7/2017,1,married,101083,13176,Bag of Organic Bananas,24,4,10.3,3298246,4,1,9,30.0,1,1,both,Mid-range product,Regularly busy,Busiest days,Most orders,4,New customer,10.3,High Spender,8.0,Frequent customer,4,Low Activity
1055070,191234,Female,Michigan,43,2/7/2017,1,married,40015,17207,Non Fat Greek Yogurt,120,16,2.6,1132780,1,0,12,,1,0,both,Low-range product,Busiest day,Busiest days,Most orders,3,New customer,4.1,Low Spender,30.0,Non-frequent customer,4,Low Activity
1055071,191234,Female,Michigan,43,2/7/2017,1,married,40015,19348,Fat Free Milk,84,16,4.6,1132780,1,0,12,,2,0,both,Low-range product,Busiest day,Busiest days,Most orders,3,New customer,4.1,Low Spender,30.0,Non-frequent customer,4,Low Activity
1055072,191234,Female,Michigan,43,2/7/2017,1,married,40015,19348,Fat Free Milk,84,16,4.6,2236830,2,0,13,30.0,1,1,both,Low-range product,Busiest day,Busiest days,Most orders,3,New customer,4.1,Low Spender,30.0,Non-frequent customer,4,Low Activity
1055073,191234,Female,Michigan,43,2/7/2017,1,married,40015,19348,Fat Free Milk,84,16,4.6,2024901,3,0,11,30.0,1,1,both,Low-range product,Busiest day,Busiest days,Most orders,3,New customer,4.1,Low Spender,30.0,Non-frequent customer,4,Low Activity
1055074,116227,Female,West Virginia,22,2/7/2017,2,married,36578,4913,Table Water Crackers,78,19,4.4,2455684,1,3,20,,1,0,both,Low-range product,Regularly busy,Least busy days,Average orders,3,New customer,4.4,Low Spender,23.5,Non-frequent customer,3,Low Activity
1055075,116227,Female,West Virginia,22,2/7/2017,2,married,36578,4913,Table Water Crackers,78,19,4.4,557498,2,4,9,30.0,1,1,both,Low-range product,Least busy,Least busy days,Most orders,3,New customer,4.4,Low Spender,23.5,Non-frequent customer,3,Low Activity
1055076,116227,Female,West Virginia,22,2/7/2017,2,married,36578,4913,Table Water Crackers,78,19,4.4,1414201,3,0,13,17.0,1,1,both,Low-range product,Busiest day,Busiest days,Most orders,3,New customer,4.4,Low Spender,23.5,Non-frequent customer,3,Low Activity
